stop_name,bus_numbers,total_routes
Broadway,"101, 101CT, 101E, 101X, 109T, 10A, 10E, 11, 11G, 11M, 120, 120CT, 120E, 120F, 120G, 120K, 120KET, 150, 155A, 15BET, 17E, 17K, 188C, 188ET, 18A, 18B, 18D, 18E, 18K, 18P, 18R, 18RX, 18X, 1C, 1D, 21, 21C, 21P, 26, 26B, 26G, 26K, 26M, 26R, 33C, 33L, 38A, 38G, 38H, 4, 44, 44C, 44CT, 4M, 50, 51D, 51J, 52, 52B, 52G, 52K, 53, 53E, 53P, 54, 54G, 54L, 56D, 56DET, 56J, 56K, 56P, 57D, 57F, 57H, 57J, 57M, 5C, 60, 60A, 60D, 60G, 60H, 6D, 6DET, 71D, 71E, 71H, 71V, 88C, 88K, 88KET, 8B, 9MET, A51, B18, C33, C56C, C56CET, C64, CU2, D51ET, E18, E51, M51R",105
CMBT,"104C, 104CX, 111, 111ET, 113, 113A, 114, 114C, 114CCT, 114D, 114E, 114ET, 114G, 114P, 114S, 121, 121A, 121C, 121CT, 121D, 121G, 121M, 121MET, 12X, 14A, 15, 153, 153A, 153C, 153P, 153T, 159B, 159E, 159K, 15BET, 15F, 16J, 16K, 170A, 170C, 170CE, 170K, 170T, 170TX, 27B, 46, 46ET, 46G, 48C, 514, 514ET, 553W, 558L, 570, 570ET, 570P, 58V, 70, 70A, 70ACT, 70C, 70F, 70H, 70J, 70K, 70LCT, 70M, 70N, 70T, 70V, 72, 72M, 73, 73A, 76, 76B, 77, 77A, 77B, 77CT, 77E, 77K, 77M, 77P, 77T, 77V, 77VET, 78, B70CT, D70, D70CT, D70X, F70, M27, M70, P570S, S28, S31, S51, S60",100
KCBT,"104A, 104C, 104F, 104G, 104K, 104M, 104P, 104T, 111ET, 166K, 170TX, 18A, 18ACT, 18S, 202X, 206, 21G, 297, 515K, 515M, 515T, 51AX, 51X, 555S, 55P, 55V, 572A, 579K, 583K, 66K, 66P, 70C, 70CCT, 70E, 70F, 70K, 70M, 70T, 70V, 91, 91R, 95X, 95XCT, 99X, MAA1, P91, V51",47
Tambaram,"104, 105, 105A, 111, 111ET, 118, 118ET, 118G, 118N, 118P, 118T, 166, 166K, 170A, 170T, 170TX, 18A, 18ACT, 18H, 18M, 18N, 18S, 18X, 202, 202A, 21G, 266, 31A, 31B, 31G, 31M, 31P, 500, 500A, 500D, 500E, 500ET, 500P, 500R, 500W, 51, 515, 515A, 515B, 515CT, 517K, 51A, 51AX, 51D, 51X, 555M, 55B, 55C, 55D, 55DET, 55ET, 55G, 55H, 55M, 55N, 55P, 55V, 55X, 566, 566B, 579A, 579C, 583, 583C, 583D, 66, 66K, 66M, 66P, 66PX, 70, 70C, 70CCT, 70E, 70F, 70G, 70J, 70K, 70M, 70T, 70V, 79A, 79V, 89T, 91, 91R, 91V, 95, 95X, 95XCT, 96, 99, 99A, 99C, 99X, A51, B18, E18, G18, J66, M18G, M52ET, MAA1, P91, S100, S55W, S6, S90, V51",114
T Nagar,"147A, 147B, 154P, 23C, 29C, 29CET, 29CEX, 47, 54T, 5E, 6, 6D, 6DET, CU2",14
Central,"101, 101CT, 101E, 101X, 10A, 10E, 11, 11G, 11M, 120, 120CT, 120E, 120F, 120G, 120K, 120KET, 142B, 15, 150, 155A, 15BET, 15F, 15G, 17D, 17E, 17K, 188C, 188ET, 18A, 18B, 18D, 18E, 18K, 18P, 18R, 18RX, 18X, 1C, 1D, 20, 20A, 20D, 21, 21C, 221, 242, 26, 26B, 26G, 26K, 26M, 26R, 28A, 28B, 2A, 2B, 32A, 32AX, 32B, 35, 35C, 38C, 41D, 42, 42B, 42C, 42D, 42M, 50, 50ET, 50M, 51D, 51J, 52, 52B, 52G, 52K, 53, 53C, 53E, 53P, 54, 54G, 54L, 5C, 60A, 60D, 60H, 64C, 64D, 64K, 64KET, 64M, 71D, 71E, 71H, 71V, 7E, 7H, 7K, 7M, 7MET, 88C, 88K, 88KET, 9MET, A1, A1ET, A51, B18, C33, C64, CU1, CU2, D51ET, E18, E51, M51R, S18K, S21C",120
Egmore,"10A, 10E, 17D, 17E, 17K, 22, 23C, 23V, 27B, 27D, 28A, 28B, 29A, 29AET, 29AEX, 29D, 29ET, 37E, 37ECT, 40A, CU1, CU2, T23C, T29",24
Adyar,"102, 102C, 102K, 102K#, 102M, 102P, 102S, 102X, 109, 109A, 109CT, 109T, 109X, 19D, 19T, 1C, 1D, 21C, 21EET, 21G, 21L, 21P, 23C, 29C, 29CET, 29CEX, 41D, 45A, 47, 47A, 49, 49F, 49K, 49X, 519T, 549, 5B, 5C, 5E, 60E, 60G, 78, 96, 99, 99X, A1, A1ET, A47, CU2, S167, S17, T23C, T29, T29C",54
Sholinganallur,"102E, MAA2, P570S",3
Velachery,"119, 21L, 23V, 29NET, 3, 45A, 45ACT, 51, 51A, 51AX, 51B, 51C, 51D, 51J, 51T, 51X, 568B, 570, 570ET, 570P, 5G, 5S, 91R, A51, D51ET, D70, D70CT, D70X, E51, J51, M1, M1A, M51, M51D, M51DCT, M51V, M70, P570S, S12, S13, S83, S95, S97, V51, V51CT",45
